Time,Price,Direction,Result
2024-01-01 00:00:00,1.20497,DOWN,Win
2024-01-01 00:01:00,1.20358,UP,Win
2024-01-01 00:02:00,1.21006,DOWN,Win
2024-01-01 00:03:00,1.22529,DOWN,Lose
2024-01-01 00:04:00,1.22295,DOWN,Lose
2024-01-01 00:05:00,1.22061,UP,Win
2024-01-01 00:06:00,1.2364,DOWN,Win
2024-01-01 00:07:00,1.24408,DOWN,Win
2024-01-01 00:08:00,1.23938,DOWN,Lose
2024-01-01 00:09:00,1.24481,UP,Win
2024-01-01 00:10:00,1.24017,UP,Lose
2024-01-01 00:11:00,1.23551,DOWN,Lose
2024-01-01 00:12:00,1.23793,UP,Lose
2024-01-01 00:13:00,1.2188,DOWN,Win
2024-01-01 00:14:00,1.20155,UP,Win
2024-01-01 00:15:00,1.19593,UP,Lose
2024-01-01 00:16:00,1.1858,DOWN,Lose
2024-01-01 00:17:00,1.18894,DOWN,Lose
2024-01-01 00:18:00,1.17986,DOWN,Lose
2024-01-01 00:19:00,1.16574,UP,Win
2024-01-01 00:20:00,1.1804,DOWN,Win
2024-01-01 00:21:00,1.17814,UP,Lose
2024-01-01 00:22:00,1.17881,UP,Lose
2024-01-01 00:23:00,1.16457,DOWN,Lose
2024-01-01 00:24:00,1.15912,UP,Win
2024-01-01 00:25:00,1.16023,DOWN,Lose
2024-01-01 00:26:00,1.14872,UP,Win
2024-01-01 00:27:00,1.15248,DOWN,Lose
2024-01-01 00:28:00,1.14647,UP,Win
2024-01-01 00:29:00,1.14356,UP,Win
2024-01-01 00:30:00,1.13754,DOWN,Lose
2024-01-01 00:31:00,1.15606,UP,Win
2024-01-01 00:32:00,1.15593,DOWN,Win
2024-01-01 00:33:00,1.14535,UP,Win
2024-01-01 00:34:00,1.15358,UP,Win
2024-01-01 00:35:00,1.14137,UP,Lose
2024-01-01 00:36:00,1.14346,DOWN,Lose
2024-01-01 00:37:00,1.12386,DOWN,Lose
2024-01-01 00:38:00,1.11058,DOWN,Lose
2024-01-01 00:39:00,1.11255,DOWN,Lose
2024-01-01 00:40:00,1.11993,DOWN,Win
2024-01-01 00:41:00,1.12164,UP,Win
2024-01-01 00:42:00,1.12049,UP,Win
2024-01-01 00:43:00,1.11748,DOWN,Win
2024-01-01 00:44:00,1.10269,UP,Lose
2024-01-01 00:45:00,1.09549,UP,Lose
2024-01-01 00:46:00,1.09089,UP,Win
2024-01-01 00:47:00,1.10146,UP,Lose
2024-01-01 00:48:00,1.10489,DOWN,Win
2024-01-01 00:49:00,1.08726,UP,Win
2024-01-01 00:50:00,1.0905,DOWN,Lose
2024-01-01 00:51:00,1.08665,DOWN,Lose
2024-01-01 00:52:00,1.07988,UP,Lose
2024-01-01 00:53:00,1.086,DOWN,Lose
2024-01-01 00:54:00,1.09631,UP,Lose
2024-01-01 00:55:00,1.10562,UP,Lose
2024-01-01 00:56:00,1.09723,UP,Lose
2024-01-01 00:57:00,1.09414,DOWN,Win
2024-01-01 00:58:00,1.09745,DOWN,Lose
2024-01-01 00:59:00,1.10721,DOWN,Win
2024-01-01 01:00:00,1.10242,UP,Win
2024-01-01 01:01:00,1.10056,UP,Lose
2024-01-01 01:02:00,1.0895,UP,Win
2024-01-01 01:03:00,1.07753,DOWN,Lose
2024-01-01 01:04:00,1.08566,UP,Win
2024-01-01 01:05:00,1.09922,UP,Win
2024-01-01 01:06:00,1.0985,DOWN,Win
2024-01-01 01:07:00,1.10854,DOWN,Lose
2024-01-01 01:08:00,1.11215,DOWN,Win
2024-01-01 01:09:00,1.1057,UP,Win
2024-01-01 01:10:00,1.10932,UP,Win
2024-01-01 01:11:00,1.1247,UP,Lose
2024-01-01 01:12:00,1.12434,DOWN,Win
2024-01-01 01:13:00,1.13998,DOWN,Lose
2024-01-01 01:14:00,1.11379,DOWN,Win
2024-01-01 01:15:00,1.12201,DOWN,Win
2024-01-01 01:16:00,1.12288,UP,Win
